7.128 http://www.globenewswire.com/news-release/2018/07/05/1533703/0/en/iFresh-Inc-Reports-Fiscal-Year-2018-Financial-Results.html
3 201807.297 http://www.globenewswire.com/news-release/2018/07/12/1536420/0/en/Zogenix-Announces-Positive-Top-line-Results-from-Second-Pivotal-Phase-3-Clinical-Trial-of-ZX008-in-Dravet-Syndrome.html
PIXY 2.74 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536894/0/en/ShiftPixy-Provides-Update-on-Release-of-Fiscal-Third-Quarter-2018-Results.html
GFN 14.1 201807.320 http://www.globenewswire.com/news-release/2018/07/13/1537099/0/en/General-Finance-Corporation-Declares-Dividend-of-2-30-Per-Share-on-Its-9-00-Series-C-Cumulative-Redeemable-Perpetual-Preferred-Stock.html
RPT 12.88 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536875/0/en/RAMCO-Properties-Announces-the-Appointment-of-Timothy-Collier-as-Executive-Vice-President-of-Leasing.html
RTRX 27.79 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536891/0/en/Retrophin-to-Report-Second-Quarter-2018-Financial-Results.html
RTRX 27.79 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536891/0/en/Retrophin-to-Report-Second-Quarter-2018-Financial-Results.html
PZZA 53.67 201807.320 http://finance.yahoo.com/news/cass-managing-client-money-assets-185100571.html
CYTK 9.2 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536833/0/en/Cytokinetics-to-Announce-Second-Quarter-Results-on-July-26-2018.html
EAT 48.77 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536862/0/en/Nutritional-High-Arranges-4-Million-Private-Placement.html
KSHB 5.21 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536865/0/en/Kush-Bottles-Reports-Third-Fiscal-Quarter-2018-Results.html
PRAH 99.48 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536798/0/en/PRA-Health-Sciences-to-Report-Second-Quarter-2018-Earnings.html
CIBH 1.73 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536822/0/en/CIB-Marine-Bancshares-Inc-Announces-2018-Second-Quarter-Results.html
CYDY 0.44 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536873/0/en/CytoDyn-Announces-Leadership-Changes-to-Align-with-Expanded-Focus-of-PRO-140-to-Cancer-and-Immunological-Disorders.html
AIPT 1.25 201807.320 http://www.globenewswire.com/news-release/2018/07/13/1536949/0/en/Precision-Therapeutics-Granted-European-Patent-for-its-Automated-Direct-to-Drain-Medical-Fluid-Disposal-System.html
XLNX 68.22 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536813/0/en/Squirrels-Research-Labs-Announces-Acorn-Cryptocurrency-Acceleration-Hardware.html
TLF 7.7 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536907/0/en/Tandy-Leather-Factory-Schedules-2nd-Quarter-2018-Earnings-Announcement-and-Conference-Call.html
CEV 11.46 201807.320 http://finance.yahoo.com/news/republic-services-njr-clean-energy-163300358.html
SPXC 36.14 201807.320 http://www.globenewswire.com/news-release/2018/07/12/1536869/0/en/SPX-to-Report-Second-Quarter-2018-Financial-Results-on-August-2nd.html
CEO 165.35 201807.322 http://finance.yahoo.com/news/gomspace-secures-external-financing-sek-134300379.html
